delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,342,6,28,space,0.413903700071387,None,800,1,[1.6259130000835285],[1.6259248000569642],28,6,342,11,1712.6620399000822,,1712.6462871000404,1712.6620399000822,1713.6452808000613,1713.6452808000613,1713.661883700057,1714.0627742999932,space,0.413903700071387,None,1714.0640955000417,1714.7619534667504,1715.0709592000348,1715.0598814000841,1715.0608547000447,1715.0709592000348,1715.0709592000348,1715.0709592000348,1716.697276400053,800,1,[1.6259130000835285],[1.6259248000569642],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,1000,exp,343,7,28,space,0.2850912999128923,None,150,1,[3.7550191999180242],[3.7550348999211565],28,7,343,6,1716.7117024000036,,1716.6975317000179,1716.7117024000036,1717.7110468000174,1717.7110468000174,1717.7110468000174,1718.0124739999883,space,0.2850912999128923,None,1718.0141003000317,1718.1120942667515,1718.4260446000844,1718.4160959,1718.4165720000165,1718.4260446000844,1718.4260446000844,1718.4260446000844,1722.181472400087,150,1,[3.7550191999180242],[3.7550348999211565],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,400,unexp,344,8,28,space,0.3022335999412462,None,900,1,[1.6432163999415934],[1.6432293999241665],28,8,344,2,1722.1950363999931,,1722.1818293000106,1722.1950363999931,1723.195179500035,1723.195179500035,1723.195179500035,1723.5135674000485,space,0.3022335999412462,None,1723.514416399994,1724.2288100666522,1724.5371159000788,1724.5260962999891,1724.5266502000159,1724.5371159000788,1724.5371159000788,1724.5371159000788,1726.1806926000863,900,1,[1.6432163999415934],[1.6432293999241665],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,1000,exp,345,9,28,space,0.37493930000346154,None,150,1,[3.292812900035642],[3.292827000026591],28,9,345,9,1726.1952032999834,,1726.1809809000697,1726.1952032999834,1727.1954404000426,1727.1954404000426,1727.1954404000426,1727.579239099985,space,0.37493930000346154,None,1727.5802353000036,1727.6787664667393,1727.9878621000098,1727.9761561000487,1727.9768499999773,1727.9878621000098,1727.9878621000098,1727.9878621000098,1731.2810637999792,150,1,[3.292812900035642],[3.292827000026591],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,1000,exp,346,10,28,space,1.4083262999774888,None,500,1,[2.5592313000233844],[2.5592418999876827],28,10,346,4,1731.2950280000223,,1731.2813703999855,1731.2950280000223,1732.2952501000836,1732.2952501000836,1732.2952501000836,1733.713092799997,space,1.4083262999774888,None,1733.716247400036,1734.1283508666713,1734.4375112000853,1734.42518390005,1734.4257921000244,1734.4375112000853,1734.4375112000853,1734.4375112000853,1736.9971619000426,500,1,[2.5592313000233844],[2.5592418999876827],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,1000,exp,347,11,28,space,0.38452130008954555,None,150,1,[4.394556000013836],[4.394578700070269],28,11,347,3,1737.0117078999756,,1736.997466300032,1737.0117078999756,1738.0119464000454,1738.0119464000454,1738.0119464000454,1738.3973955999827,space,0.38452130008954555,None,1738.398375699995,1738.5119387667548,1738.8191706000362,1738.807087299996,1738.8079145000083,1738.8191706000362,1738.8191706000362,1738.8191706000362,1743.2142662000842,150,1,[4.394556000013836],[4.394578700070269],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,400,unexp,348,0,29,space,0.12183899991214275,None,600,1,[2.2102040000027046],[2.210218599997461],29,0,348,2,1743.228290500003,,1743.214590699994,1743.228290500003,1744.2283998000203,1744.2283998000203,1744.2283998000203,1744.3629618000705,space,0.12183899991214275,None,1744.3642025000881,1745.0780676666802,1745.3868100000545,1745.3755599000724,1745.3759696000488,1745.3868100000545,1745.3868100000545,1745.3868100000545,1747.5975235999795,600,1,[2.2102040000027046],[2.210218599997461],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,400,unexp,349,1,29,space,0.4887958000181243,None,100,1,[2.455874599982053],[2.4558869999600574],29,1,349,0,1747.6115642000223,,1747.597942500026,1747.6115642000223,1748.6117247000802,1748.6117247000802,1748.6117247000802,1749.114633099991,space,0.4887958000181243,None,1749.1155825000023,1749.229140966727,1749.5400233999826,1749.5258753000526,1749.5275767000858,1749.5400233999826,1749.5400233999826,1749.5400233999826,1751.996252299985,100,1,[2.455874599982053],[2.4558869999600574],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,1000,exp,350,2,29,space,0.284860200015828,None,200,1,[2.344628300052136],[2.344639200018719],29,2,350,3,1752.0117598000215,,1751.9965255000861,1752.0117598000215,1753.0116666000104,1753.0116666000104,1753.0116666000104,1753.3132478999905,space,0.284860200015828,None,1753.3142833000747,1753.4123943667548,1753.7193636000156,1753.7096063999925,1753.7105775000528,1753.7193636000156,1753.7193636000156,1753.7193636000156,1756.064350700006,200,1,[2.344628300052136],[2.344639200018719],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,1000,exp,351,3,29,space,0.2833699000766501,None,650,1,[2.27640559989959],[2.2764197998913005],29,3,351,5,1756.0785014000721,,1756.0646008000476,1756.0785014000721,1757.0787562000332,1757.0787562000332,1757.0787562000332,1757.3635311999824,space,0.2833699000766501,None,1757.3647997999797,1758.0785079666568,1758.3874329000246,1758.3771121000173,1758.3776445999974,1758.3874329000246,1758.3874329000246,1758.3874329000246,1760.6643966999836,650,1,[2.27640559989959],[2.2764197998913005],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
